window_start,window_end,anomaly_score,number_of_observations,cluster
2017-09-12 20:19:00,2017-09-12 20:24:00,0.6346854386271724,300,2
2017-09-12 20:21:00,2017-09-12 20:26:00,0.630609224390241,300,2
2017-09-12 20:20:00,2017-09-12 20:25:00,0.6258924529999811,300,2
2017-09-12 20:18:00,2017-09-12 20:23:00,0.6183524918233144,300,2
2017-09-12 21:14:00,2017-09-12 21:19:00,0.617023488427505,300,2
