feature,f_statistic,p_value,eta_squared,cluster_0_mean,cluster_1_mean,cluster_2_mean
FEATURE70_min,1883.6920178714972,4.796249518527496e-231,0.8846980460478052,-10.176714661542519,-0.048386028884263625,-11.034590703147016
FEATURE70_range,1778.3277180838468,1.236056706771988e-225,0.8786952081907256,21.556451520961595,0.159215072193177,23.18265218171398
FEATURE70_max,1477.9743949091094,1.660562535709899e-208,0.857555179975304,11.379736859419074,0.11082904330891338,12.148061478566964
FEATURE68_min,1333.3589438513436,3.6673677886104454e-199,0.8445079587660018,-2.013703951368276,0.047073458796700614,-2.2911134932515056
FEATURE69_min,1286.9538347671883,5.559498527833384e-196,0.8397994155319553,-1.9842706791074571,0.05562109432112256,-2.267274723372394
FEATURE69_range,1022.0159623091067,9.606684538395898e-176,0.8063140762718612,4.146321980433695,0.09470245323289216,4.209738396505231
FEATURE68_range,992.9008654996705,2.88540165367664e-173,0.8017604744640213,4.259538383214385,0.11155102413968747,4.286999358577225
FEATURE71_max,832.4280345272668,1.80656900495146e-158,0.7722482465096422,0.7988548692673272,-0.8241743938188361,0.9855413338007123
FEATURE69_std,743.950051934755,2.4459406354600183e-149,0.7518823719095743,1.117788618281936,0.011090231662113184,1.1489374036214173
FEATURE68_std,730.2442231728461,7.510297531321595e-148,0.7483971781029838,1.0164442983309299,0.011069809468219845,1.1707009968280093
FEATURE43_std,721.5039298358029,6.839269212905802e-147,0.7461230586294662,0.7104423505241815,0.031897635131541854,1.8725036611859334
FEATURE43_range,664.8025581520758,1.89468717703923e-140,0.7303094473354357,4.512913718362718,0.21785924668847798,8.76709297957111
FEATURE43_max,664.783680031111,1.9043582029895945e-140,0.7303038542978059,4.3093491098625725,0.010578611358626701,8.56074450827849
FEATURE51_min,597.0035448163983,3.386733224865899e-132,0.7086065672833456,-1.6291491716650242,0.09119602710327027,-3.728371778903744
FEATURE52_max,545.7856974294178,1.6474541320056787e-125,0.6897454348062465,0.8367389081358153,-0.3595854865244904,1.915280076640316
FEATURE47_max,473.4667592380292,2.726648290621407e-115,0.6585377601320759,3.7852919735291297,-0.09054756609264043,12.224487593199676
FEATURE47_range,472.4571623951261,3.8499285735209667e-115,0.6580575933235281,3.861147674778086,0.006307727241754613,12.298950105096011
FEATURE71_mean,468.9563879500561,1.2782100700627809e-114,0.65638210513535,0.6231917959730563,-0.897462589220973,0.5627420054413137
FEATURE43_mean,430.8214329754816,9.016622630667112e-109,0.6370069200381233,-0.006063138936345635,-0.19799402625426116,0.5983267982442738
FEATURE68_max,430.24637378855306,1.1110616945880115e-108,0.6366980134519833,2.245834431846107,0.15862448293638806,1.9958858653257185
